pop1,pop2,prpshrd
27,52,0.2163718
27,53,0.2313376
27,54,0.2353053
27,55,0.219837
27,56,0.212178
28,29,0.2211869
28,30,0.1610686
28,31,0.2433968
28,32,0.1974834
28,33,0.2239634
28,34,0.2288056
28,35,0.2300417
28,36,0.2240233
28,37,0.1833478
28,38,0.231113
28,39,0.2289275
28,40,0.224819
28,41,0.2284312
28,42,0.220923
28,43,0.2196106
28,44,0.2298104
28,45,0.2383677
28,46,0.226984
28,47,0.2287022
28,48,0.2294938
28,49,0.2234563
28,50,0.2389454
28,51,0.2307842
28,52,0.2312571
28,53,0.2356101
28,54,0.2316082
28,55,0.1958987
28,56,0.2201154
29,30,0.2149446
29,31,0.2310293
29,32,0.2048237
29,33,0.1364663
29,34,0.230929
29,35,0.2148853
29,36,0.2231365
29,37,0.1883253
29,38,0.2251576
29,39,0.135739
29,40,0.2157746
29,41,0.2139603
29,42,0.1786974
29,43,0.1367093
29,44,0.2218268
29,45,0.2356464
29,46,0.1879546
29,47,0.2195891
29,48,0.2005078
29,49,0.199596
29,50,0.2265444
29,51,0.2173648
29,52,0.2102723
29,53,0.2286459
29,54,0.2255455
29,55,0.2047554
29,56,0.2127087
30,31,0.2461458
30,32,0.1943678
30,33,0.2177197
30,34,0.2261872
30,35,0.2314473
30,36,0.2240323
30,37,0.1818422
30,38,0.2370968
30,39,0.2210591
30,40,0.2246991
30,41,0.2249152
30,42,0.2187364
30,43,0.2195012
30,44,0.226922
30,45,0.2295082
30,46,0.2242259
30,47,0.2241877
30,48,0.2298521
30,49,0.2214755
30,50,0.2350937
30,51,0.2268251
30,52,0.236502
30,53,0.2367121
30,54,0.2261639
30,55,0.2059584
30,56,0.2239794
31,32,0.2352594
31,33,0.2316743
31,34,0.2471494
31,35,0.2459103
31,36,0.2336069
31,37,0.2356688
31,38,0.2457489
31,39,0.2376297
31,40,0.2433679
31,41,0.2379734
31,42,0.235787
31,43,0.2374868
31,44,0.239531
31,45,0.2501962
31,46,0.2364633
31,47,0.2418902
31,48,0.2357088
31,49,0.2320261
31,50,0.2370545
31,51,0.230209
31,52,0.2381163
31,53,0.2444897
31,54,0.2472724
