pop1,pop2,prpshrd
13,34,0.2143641
13,35,0.2145808
13,36,0.2203339
13,37,0.2105985
13,38,0.2139564
13,39,0.205838
13,40,0.2211967
13,41,0.232685
13,42,0.2117431
13,43,0.228038
13,44,0.2161154
13,45,0.2188125
13,46,0.2342235
13,47,0.2207057
13,48,0.2285907
13,49,0.2403215
13,50,0.2197524
13,51,0.2157263
13,52,0.2283824
13,53,0.2361702
13,54,0.2264844
13,55,0.2300014
13,56,0.2285005
13,57,0.2270549
13,58,0.2268967
13,59,0.227863
13,60,0.2193156
13,61,0.2335526
13,62,0.2147524
13,63,0.2339953
13,64,0.1885526
13,65,0.2235059
13,66,0.2242032
13,67,0.2277172
13,68,0.2248206
13,69,0.2230134
13,70,0.2236875
13,71,0.2258944
13,72,0.2325928
13,73,0.2232546
13,74,0.2236882
13,75,0.2285574
13,76,0.2239811
13,78,0.2024061
14,15,0.2335349
14,16,0.2397454
14,17,0.2166781
14,18,0.2482739
14,19,0.2331328
14,20,0.1836766
14,21,0.2291338
14,22,0.2351234
14,23,0.2299772
14,24,0.2280853
14,25,0.224642
14,26,0.2241645
14,27,0.2335323
14,28,0.18805
14,29,0.2365864
14,31,0.2373486
14,32,0.2275359
14,33,0.2371134
14,34,0.235805
14,35,0.239143
14,36,0.2382689
14,37,0.2287132
14,38,0.2112555
14,39,0.2059327
14,40,0.1538358
14,41,0.2438496
14,42,0.1862714
14,43,0.2124222
14,44,0.188282
14,45,0.2280774
14,46,0.2201065
14,47,0.2397195
14,48,0.2456949
14,49,0.2288957
14,50,0.216253
14,51,0.2346847
14,52,0.2417185
14,53,0.2335998
14,54,0.229578
14,55,0.2266905
14,56,0.2297649
14,57,0.2256927
14,58,0.2317356
14,59,0.242634
14,60,0.2403765
14,61,0.2491674
14,62,0.2391591
14,63,0.1994631
14,64,0.2383768
14,65,0.2273463
14,66,0.2246639
14,67,0.2355882
14,68,0.2154693
14,69,0.2327526
14,70,0.233157
14,71,0.2362952
14,72,0.146912
14,73,0.1802179
14,74,0.205052
14,75,0.2238498
14,76,0.228
14,78,0.2341113
15,16,0.2296187
15,17,0.2353885
15,18,0.2448994
15,19,0.2436381
15,20,0.234156
15,21,0.2342973
15,22,0.225903
15,23,0.2297679
15,24,0.2323199
15,25,0.2378334
15,26,0.2256263
15,27,0.2284342
15,28,0.2341601
15,29,0.2354205
15,31,0.234543
15,32,0.2349177
15,33,0.239074
15,34,0.2380952
15,35,0.2301867
15,36,0.2299662
15,37,0.2300234
15,38,0.2363609
15,39,0.2411744
15,40,0.2392459
15,41,0.2348509
15,42,0.2298322
15,43,0.235099
15,44,0.234714
15,45,0.2369165
15,46,0.2501455
15,47,0.2405411
15,48,0.2486826
15,49,0.2488019
15,50,0.2347977
15,51,0.2420526
15,52,0.2475011
15,53,0.2408815
15,54,0.2379939
15,55,0.2457288
15,56,0.2444099
15,57,0.2355287
15,58,0.2407866
15,59,0.2427367
15,60,0.2401068
15,61,0.2498956
15,62,0.2307207
15,63,0.2452459
15,64,0.2458555
15,65,0.2416064
15,66,0.2362128
15,67,0.2486606
15,68,0.2443037
15,69,0.2380654
15,70,0.2420379
15,71,0.2436689
15,72,0.2470486
15,73,0.2344154
15,74,0.2390572
15,75,0.2466011
15,76,0.2437196
15,78,0.229674
16,17,0.2217751
16,18,0.2288925
16,19,0.2380241
16,20,0.2271408
16,21,0.2342578
16,22,0.2332159
16,23,0.2255306
16,24,0.2375231
16,25,0.2327392
16,26,0.2203337
16,27,0.2306933
16,28,0.225466
16,29,0.2307447
16,31,0.232756
16,32,0.2330576
16,33,0.2354808
16,34,0.2302306
16,35,0.2273858
16,36,0.2231337
16,37,0.225108
16,38,0.2190589
16,39,0.2334511
16,40,0.226167
16,41,0.2354307
16,42,0.2271142
16,43,0.2378444
16,44,0.226927
16,45,0.242915
16,46,0.2446796
16,47,0.232873
16,48,0.2511569
16,49,0.2395845
16,50,0.2333724
16,51,0.2198929
16,52,0.2396032
16,53,0.2434976
16,54,0.2304502
16,55,0.2411147
16,56,0.2386809
16,57,0.2403489
16,58,0.2440937
16,59,0.2344359
